,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_1000,3,1000,Nevin Shell Heap.,Me.152/1,"Section number - 6E Trench Number - IC.1 to IC.4 Taken from scrap. Locality-Bluehill Falls, ME."
3_1001,3,1001,Nevin Shell Heap.,Me.152/1,"Provenience Description - From scrap Section number - 6E Trench Number - IC.1 Beneath first shell layer. Taken from scrap Locality-Bluehill Falls, ME."
3_1002,3,1002,Nevin Shell Heap.,Me.152/1,"Section number - 7E Trench Number - IC.3 Taken from scrap. Locality-Bluehill Falls, ME."
3_1003,3,1003,Nevin Shell Heap.,Me.152/1,"Section number - 8E Trench Number - ID.1&2 Taken from scrap Locality-Bluehill Falls, ME."
3_1005,3,1005,Nevin Shell Heap.,Me.152/1,"Provenience Description Bluehill Falls, Me. - Taken from scrap above grave 2 in pebbles."
3_1006,3,1006,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Surface."
3_1007,3,1007,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Surface."
3_1008,3,1008,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Surface."
3_1009,3,1009,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Surface."
3_1010,3,1010,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. On beach, surface."
3_1011,3,1011,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Sod."
3_1012,3,1012,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. Sod."
3_1013,3,1013,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me."
3_1014,3,1014,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me. From back dirt. Location unkown."
3_1015,3,1015,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me."
3_1016,3,1016,Nevin Shell Heap.,Me.152/1,"Bluehill Falls, Me."
3_1017,3,1017,Nevin Shell Heap.,Me.152/1,"Section number - 8E Trench Number - IC.2 Excav Date - 00/00/36 Bluehill Falls, Me. Taken from scrap."
3_0491,3,491,Nevin Shell Heap.,Me.152/1,"Provenience Description - Just beneath turf Trench Number - 1 Locality: Bluehill Falls, ME Situation: Trench 1, just below turf."
3_0492,3,492,Nevin Shell Heap.,Me.152/1,"Section number - 2 Trench Number - ID.2 Locality: Bluehill Falls, ME Situation: trench ID.2, section 2. In shells."
3_0493,3,493,Nevin Shell Heap.,Me.152/1,"Section number - 2, in shells. Trench Number - ID.2 Locality: Bluehill Falls, ME"
3_0494,3,494,Nevin Shell Heap.,Me.152/1,"Provenience Description - General - mostly Trench ID.1 & 2, Section 2E Section number - 2E Trench Number - ID.1 Locality: Bluehill Falls, ME"
3_0495,3,495,Nevin Shell Heap.,Me.152/1,"Section number - 2E Trench Number - IC.3 Upper part of shell. Locality: Bluehill Falls, ME"
